index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
480,64.0224,46.4005,1054.54,0.801026
481,64.9445,46.4064,1054.83,0.807258
482,65.8668,46.4129,1055.13,0.812609
483,66.7898,46.4227,1055.38,0.818458
484,67.7158,46.4313,1055.69,0.82412
485,77.9413,46.536,1059.4,0.894037
486,78.8507,46.5149,1059.42,0.897068
487,79.7755,46.5157,1059.61,0.902323
488,80.7049,46.5256,1059.89,0.907544
489,81.6377,46.5336,1060.19,0.912518
490,82.5708,46.5405,1060.49,0.918252
491,83.5044,46.5486,1060.79,0.924081
492,84.4385,46.5553,1061.09,0.929988
493,85.3736,46.5618,1061.39,0.93611
494,86.3087,46.5684,1061.69,0.942005
495,-28.0648,44.7798,1024.28,0.314678
496,-27.1966,44.7867,1024.58,0.319075
497,-26.3276,44.7931,1024.88,0.323638
498,-25.4583,44.8007,1025.18,0.328152
499,-24.5884,44.8078,1025.47,0.332121
500,-23.7184,44.8148,1025.77,0.336466
501,-22.8478,44.8218,1026.07,0.34085
502,-21.9767,44.8292,1026.37,0.344903
503,-21.105,44.8364,1026.67,0.349119
504,-20.2329,44.8432,1026.96,0.353409
505,-19.3604,44.8499,1027.26,0.358248
506,-18.487,44.8565,1027.56,0.363283
507,-17.6133,44.8639,1027.86,0.367672
508,-16.7389,44.8708,1028.15,0.372027
509,-15.8641,44.8778,1028.45,0.376598
510,-14.989,44.8858,1028.75,0.380717
511,-14.1131,44.8923,1029.04,0.385395
512,-13.237,44.8995,1029.34,0.389877
513,-12.3597,44.9047,1029.62,0.394631
514,-1.79988,45.0004,1033.21,0.442123
515,-0.916799,45.0087,1033.49,0.446338
516,-0.0337346,45.0126,1033.77,0.450299
517,0.850361,45.0179,1034.06,0.454941
518,1.73531,45.0241,1034.35,0.459879
519,2.62026,45.0318,1034.64,0.464097
520,3.50633,45.039,1034.94,0.468373
521,4.39258,45.0467,1035.23,0.472389
522,5.27896,45.0542,1035.53,0.476744
523,6.16671,45.0626,1035.84,0.481581
524,7.05476,45.0704,1036.15,0.486172
525,7.94406,45.0799,1036.53,0.491694
526,18.6365,45.1541,1040.04,0.542789
527,19.5316,45.1665,1040.26,0.546164
528,20.4265,45.1765,1040.49,0.550146
529,21.3225,45.1854,1040.78,0.554184
530,22.2185,45.1923,1041.07,0.558934
531,23.1157,45.1998,1041.36,0.56356
532,24.0132,45.2068,1041.65,0.568526
533,24.9111,45.2134,1041.95,0.573593
534,25.8097,45.2196,1042.23,0.578658
535,26.7071,45.2227,1042.5,0.581713
536,27.6045,45.2114,1042.74,0.584686
537,37.5587,45.3276,1046.69,0.650659
538,38.4466,45.3214,1046.52,0.650644
539,39.3455,45.3179,1046.65,0.654088
540,40.2509,45.328,1046.9,0.658189
541,41.1563,45.3358,1047.19,0.662264
542,42.0646,45.3426,1047.48,0.667471
543,42.9729,45.3491,1047.77,0.672927
544,43.882,45.3563,1048.06,0.677701
545,44.7917,45.3632,1048.35,0.682757
546,45.7016,45.3701,1048.64,0.68766
547,46.6123,45.3746,1048.9,0.692843
548,47.5207,45.3554,1049.12,0.699785
549,48.4258,45.3198,1049.28,0.712098
550,57.6149,45.4675,1053.1,0.770545
551,58.5185,45.4764,1053.13,0.772811
552,59.4231,45.4822,1053.18,0.776153
553,60.3347,45.472,1053.34,0.780984
554,61.2545,45.4792,1053.64,0.786509
555,62.1742,45.4862,1053.94,0.791467
556,63.0946,45.4929,1054.24,0.797366
557,64.0163,45.4996,1054.53,0.803014
558,64.9386,45.5055,1054.83,0.808889
559,65.8613,45.5119,1055.13,0.813736
560,66.7843,45.5261,1055.38,0.819455
561,67.7099,45.5269,1055.68,0.825438
562,77.9304,45.5915,1059.37,0.893286
563,78.8452,45.6004,1059.43,0.896986
564,79.7691,45.6121,1059.6,0.902301
565,80.699,45.6213,1059.89,0.907655
566,81.6314,45.6284,1060.19,0.91278
567,82.5647,45.6351,1060.49,0.918547
568,83.4984,45.6428,1060.79,0.924297
569,84.4325,45.6499,1061.09,0.929963
570,85.3674,45.6564,1061.38,0.935788
571,86.3025,45.6628,1061.68,0.941708
572,-28.0683,43.9029,1024.26,0.314669
573,-27.2002,43.9099,1024.55,0.318991
574,-26.331,43.9166,1024.85,0.323605
575,-25.4617,43.9232,1025.15,0.328302
576,-24.5919,43.9301,1025.45,0.332547
577,-23.7217,43.9365,1025.75,0.336898
578,-22.8512,43.9435,1026.04,0.341258
579,-21.98,43.9508,1026.34,0.345303
580,-21.1086,43.9576,1026.64,0.349573
581,-20.2362,43.9647,1026.94,0.35396
582,-19.3639,43.9713,1027.24,0.358567
583,-18.4907,43.9779,1027.53,0.363481
584,-17.6167,43.9851,1027.83,0.367722
585,-16.7424,43.9915,1028.13,0.371829
586,-15.8679,43.9979,1028.42,0.376369
587,-14.9929,44.0058,1028.72,0.380536
588,-14.1171,44.0122,1029.02,0.385132
589,-13.2411,44.019,1029.32,0.389656
590,-12.3638,44.0254,1029.61,0.394159
591,-11.4875,44.0273,1029.91,0.400022
592,-2.68847,44.0882,1032.89,0.437246
593,-1.80503,44.111,1033.16,0.44241
594,-0.921743,44.1243,1033.45,0.446939
595,-0.0384665,44.1308,1033.75,0.450774
596,0.845593,44.1342,1034.03,0.45547
597,1.73065,44.1405,1034.33,0.460082
598,2.61558,44.1484,1034.62,0.464038
599,3.50146,44.1551,1034.92,0.468324
600,4.3876,44.1624,1035.21,0.472379
601,5.27409,44.1696,1035.51,0.476715
602,6.1609,44.1779,1035.81,0.481596
603,7.04825,44.1854,1036.12,0.486651
604,7.9368,44.1859,1036.46,0.491776
