index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
12589,31.6339,-55.363,1042.79,-0.444996
12590,32.5383,-55.3848,1043.11,-0.443796
12591,33.4425,-55.4071,1043.43,-0.443418
12592,34.3479,-55.4288,1043.75,-0.442374
12593,35.2539,-55.4507,1044.07,-0.441423
12594,36.1598,-55.4727,1044.39,-0.441009
12595,37.0667,-55.493,1044.71,-0.440143
12596,47.0991,-55.7558,1048.78,-0.437291
12597,48.0002,-55.7666,1048.8,-0.436846
12598,48.9093,-55.7943,1049,-0.436231
12599,49.8202,-55.8082,1049.22,-0.435506
12600,50.7363,-55.8314,1049.55,-0.434882
12601,51.6529,-55.854,1049.88,-0.434004
12602,52.5698,-55.8767,1050.2,-0.4334
12603,53.4878,-55.8988,1050.52,-0.432447
12604,54.4065,-55.9209,1050.84,-0.431217
12605,55.3253,-55.9431,1051.16,-0.430432
12606,56.2439,-55.96,1051.46,-0.429087
12607,57.1615,-55.9687,1051.74,-0.42884
12608,67.3422,-56.209,1055.68,-0.42421
12609,68.2535,-56.2472,1055.73,-0.423636
12610,69.1751,-56.2721,1055.98,-0.424156
12611,70.1045,-56.2992,1056.31,-0.423259
12612,71.0339,-56.3219,1056.63,-0.422506
12613,71.9636,-56.3449,1056.96,-0.421878
12614,72.8938,-56.368,1057.27,-0.421201
12615,73.8248,-56.3922,1057.6,-0.420798
12616,74.7565,-56.4154,1057.92,-0.42
12617,75.6861,-56.4389,1058.21,-0.419865
12618,76.6229,-56.4739,1058.58,-0.418497
12619,77.5595,-56.5216,1058.96,-0.41814
12620,-28.501,-54.7594,1021.07,-0.483581
12621,-27.6344,-54.7804,1021.39,-0.482446
12622,-26.7673,-54.8018,1021.71,-0.48144
12623,-25.9003,-54.8225,1022.02,-0.481158
12624,-25.0327,-54.8434,1022.34,-0.480639
12625,-24.1644,-54.8643,1022.65,-0.480024
12626,-23.2956,-54.8856,1022.97,-0.479421
12627,-22.4267,-54.9063,1023.28,-0.479184
12628,-21.5565,-54.9292,1023.61,-0.47801
12629,-20.6901,-54.9525,1023.92,-0.48144
12630,-11.9521,-55.1571,1027.09,-0.470353
12631,-11.0801,-55.1834,1027.42,-0.473996
12632,-10.2022,-55.2098,1027.71,-0.472518
12633,-9.32517,-55.2311,1028.03,-0.47215
12634,-8.44763,-55.2528,1028.38,-0.471685
12635,-7.56977,-55.2749,1028.69,-0.47165
