index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
255,78.864,49.234,1059.35,-0.000851942
256,79.7944,49.2307,1059.62,-0.000540035
257,80.7245,49.2412,1059.91,-0.000376749
258,81.6568,49.2484,1060.21,-0.000106293
259,82.5905,49.2561,1060.51,9.91725e-05
260,83.5243,49.2636,1060.81,0.000196
261,84.4582,49.2707,1061.1,0.000243192
262,85.393,49.2778,1061.41,0.00013182
263,86.3285,49.2858,1061.7,3.75533e-06
264,-28.0552,47.4081,1024.36,1.55473e-05
265,-27.1868,47.416,1024.65,0.000101165
266,-26.3179,47.4232,1024.95,0.000102806
267,-25.4484,47.4313,1025.25,8.72469e-05
268,-24.5787,47.4388,1025.55,6.34114e-05
269,-23.708,47.4472,1025.85,4.40984e-05
270,-22.8377,47.4551,1026.15,2.44778e-05
271,-21.9666,47.4626,1026.44,-5.42899e-06
272,-21.0946,47.4709,1026.74,-2.62125e-05
273,-20.2223,47.4788,1027.04,-4.5514e-05
274,-19.3493,47.4858,1027.34,-6.35775e-05
275,-18.4761,47.4928,1027.63,-5.48076e-05
276,-17.6022,47.5007,1027.93,-4.84242e-05
277,-16.7279,47.5081,1028.23,-3.49304e-05
278,-15.8531,47.5155,1028.52,-2.13568e-05
279,-14.9778,47.5235,1028.82,-2.70751e-05
280,-14.1018,47.5307,1029.12,1.36934e-05
281,-13.2253,47.5389,1029.42,2.03433e-05
282,-12.348,47.5486,1029.69,2.71622e-05
283,-1.78826,47.68,1033.34,0.000234824
284,-0.905511,47.6633,1033.6,0.000105703
285,-0.0213278,47.6638,1033.84,5.83001e-05
286,0.86312,47.6707,1034.12,9.49662e-05
287,1.74827,47.6771,1034.42,7.36062e-05
288,2.63356,47.6847,1034.71,0.000112608
289,3.51952,47.6925,1035,0.000797286
290,4.40602,47.7014,1035.3,0.00109336
291,5.2931,47.7096,1035.59,0.00167018
292,6.18129,47.7186,1035.91,0.00255668
293,7.07046,47.7264,1036.22,0.00392298
294,7.96117,47.7335,1036.66,0.00611882
295,18.6591,47.8722,1040.33,-0.000847053
296,19.547,47.848,1040.31,-0.000666918
297,20.4422,47.8461,1040.53,-0.000555501
298,21.3383,47.8535,1040.82,-0.000478753
299,22.2347,47.8619,1041.12,-0.000484854
300,23.1317,47.87,1041.41,-0.000445
301,24.0288,47.8781,1041.7,-0.000426966
302,24.9263,47.8853,1041.99,-0.00053949
303,25.825,47.8929,1042.28,-0.000624903
304,26.7234,47.8951,1042.55,-0.000747028
305,27.6214,47.8991,1042.76,-0.000889061
306,37.5789,48.0565,1046.84,-0.00199231
307,38.4732,48.0567,1046.82,-0.00125291
308,39.3616,48.0101,1046.67,-0.00120586
309,40.2678,48.0155,1046.93,-0.00104379
310,41.1734,48.021,1047.22,-0.000981918
311,42.0816,48.0284,1047.51,-0.000810965
312,42.9899,48.0353,1047.81,-0.000409385
313,43.8992,48.043,1048.1,-0.000232354
314,44.8085,48.0503,1048.39,-0.000252378
315,45.7181,48.0581,1048.68,-0.000231437
316,46.6287,48.0649,1048.95,-0.000262357
317,47.5384,48.0877,1049.19,-0.000344043
318,48.4444,48.1077,1049.33,-0.00073138
319,57.6289,48.2351,1053.04,0.000811653
320,58.5371,48.206,1053.17,0.000647184
321,59.4425,48.1854,1053.25,0.000475188
322,60.3511,48.1721,1053.36,0.000325681
323,61.2711,48.1809,1053.66,0.000196986
324,62.1913,48.1882,1053.96,0.000150778
325,63.1121,48.195,1054.26,0.000120863
326,64.0337,48.2022,1054.55,7.02338e-05
327,64.956,48.2089,1054.85,0.000155967
328,65.8788,48.216,1055.15,0.000265548
329,66.8027,48.2328,1055.43,0.000414489
330,67.7285,48.2432,1055.74,0.000649856
331,77.9509,48.3949,1059.34,-0.00108868
332,78.859,48.3326,1059.36,-0.000824439
333,79.7875,48.3292,1059.62,-0.000543908
334,80.7178,48.3365,1059.9,-0.000381981
335,81.6503,48.3434,1060.2,-0.000138378
336,82.584,48.3506,1060.5,4.37026e-05
337,83.5177,48.3581,1060.8,0.00015885
338,84.4519,48.3652,1061.1,0.000208744
339,85.3868,48.3722,1061.4,0.000114
340,86.3222,48.3797,1061.7,-2.45427e-05
341,-28.0582,46.5324,1024.33,4.4567e-06
342,-27.1899,46.5394,1024.63,8.26413e-05
343,-26.3209,46.546,1024.93,8.43865e-05
344,-25.4516,46.5541,1025.23,6.98211e-05
345,-24.5819,46.5612,1025.52,4.70769e-05
346,-23.7114,46.5691,1025.82,2.62896e-05
347,-22.8408,46.5769,1026.12,7.4897e-06
348,-21.9697,46.5848,1026.42,-2.0537e-05
349,-21.0979,46.5928,1026.72,-3.6689e-05
350,-20.2257,46.6006,1027.02,-5.32649e-05
351,-19.3527,46.6075,1027.31,-6.90488e-05
352,-18.4796,46.6143,1027.61,-6.17715e-05
353,-17.6059,46.6221,1027.91,-5.58344e-05
354,-16.7316,46.6292,1028.2,-4.16896e-05
355,-15.8568,46.6365,1028.5,-3.86237e-05
356,-14.9815,46.6441,1028.8,-6.39034e-05
357,-14.1056,46.6509,1029.1,-8.28663e-05
358,-13.2293,46.6585,1029.4,-8.32204e-05
359,-12.3519,46.6635,1029.66,-3.50205e-05
360,-1.7912,46.7884,1033.34,0.000232393
361,-0.909111,46.7826,1033.58,0.000163243
362,-0.0255088,46.7799,1033.82,0.000148344
363,0.859017,46.7857,1034.1,9.97063e-05
364,1.74406,46.7922,1034.4,5.85214e-05
365,2.62937,46.8,1034.69,7.80727e-05
366,3.51551,46.8077,1034.98,0.000672919
367,4.40214,46.8165,1035.28,0.000914344
368,5.28873,46.8244,1035.57,0.00138291
369,6.17672,46.833,1035.89,0.0020864
370,7.06574,46.8402,1036.2,0.00313428
371,7.95613,46.8445,1036.65,0.00476544
372,18.6526,46.9721,1040.27,-0.000718423
373,19.5424,46.9585,1040.32,-0.000566714
374,20.4369,46.9562,1040.51,-0.000478857
375,21.3331,46.9643,1040.81,-0.000415128
376,22.2294,46.9725,1041.1,-0.000424411
377,23.1265,46.9803,1041.39,-0.000399941
378,24.0236,46.9879,1041.69,-0.000397013
379,24.9214,46.9951,1041.98,-0.000496776
380,25.8199,47.0017,1042.26,-0.000571299
381,26.7172,47.0006,1042.52,-0.000672107
382,27.6145,46.9959,1042.71,-0.000827613
383,37.5762,47.1602,1046.87,-0.00183297
384,38.4685,47.1507,1046.83,-0.00164698
385,39.3566,47.1219,1046.67,-0.00110241
386,40.2623,47.1219,1046.92,-0.000927733
387,41.1676,47.126,1047.21,-0.00085369
388,42.0761,47.133,1047.5,-0.000680547
389,42.9841,47.1397,1047.79,-0.00031534
390,43.8934,47.1469,1048.08,-0.000155441
391,44.8028,47.1541,1048.38,-0.000161545
392,45.7129,47.1618,1048.67,-0.000160725
393,46.6232,47.1676,1048.93,-0.000159993
394,47.5328,47.1925,1049.17,-0.000325264
395,48.4392,47.2299,1049.33,-0.000576196
396,57.6294,47.3397,1053.14,0.000619302
397,58.5357,47.3046,1053.25,0.000489692
398,59.4377,47.2793,1053.27,0.000367509
399,60.3451,47.2718,1053.36,0.000235756
400,61.2652,47.2805,1053.66,0.000144436
401,62.1856,47.2877,1053.95,0.000129931
402,63.1061,47.2945,1054.25,0.000121859
403,64.0277,47.3014,1054.54,8.6522e-05
404,64.9501,47.3078,1054.84,0.000154007
405,65.8725,47.3144,1055.14,0.000274447
406,66.7965,47.3312,1055.42,0.000444821
407,67.7235,47.3522,1055.74,0.000600695
408,77.9473,47.4872,1059.38,-0.00103189
