index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
466,73.8144,45.1357,1057.59,0.932054
467,74.7416,45.1412,1057.89,0.938917
468,75.6706,45.1479,1058.18,0.945544
469,76.5993,45.1543,1058.48,0.951556
470,77.5289,45.1596,1058.77,0.957803
471,78.4587,45.1646,1059.06,0.964228
472,79.3905,45.1699,1059.36,0.970548
473,80.3228,45.176,1059.66,0.976629
474,81.2546,45.1821,1059.96,0.982961
475,82.187,45.1872,1060.26,0.98955
476,83.1204,45.1934,1060.56,0.995996
477,84.0543,45.2007,1060.86,1.00207
478,84.9887,45.2076,1061.16,1.00795
479,85.9235,45.2139,1061.46,1.01445
480,86.8593,45.2201,1061.77,1.02055
481,-20.5816,43.5942,1026.82,0.369019
482,-19.7091,43.5998,1027.13,0.373684
483,-18.836,43.6065,1027.43,0.378694
484,-17.9624,43.6134,1027.73,0.383911
485,-17.0888,43.6179,1028.03,0.388358
486,-16.2143,43.6239,1028.33,0.393015
487,-15.3398,43.6304,1028.62,0.397684
488,-14.4639,43.6366,1028.92,0.402211
489,-13.5882,43.6435,1029.22,0.407035
490,-12.7122,43.6507,1029.51,0.411211
491,-11.8352,43.6553,1029.81,0.415996
492,-10.9577,43.6652,1030.09,0.421275
493,-10.0793,43.6757,1030.4,0.426022
494,-9.20041,43.6821,1030.67,0.430321
495,-8.32079,43.6909,1030.99,0.435503
496,-7.44045,43.6973,1031.28,0.440711
497,-6.56073,43.7067,1031.59,0.446325
498,-5.67955,43.7214,1031.91,0.4515
499,-4.79822,43.7245,1032.21,0.456194
500,-3.91715,43.7302,1032.52,0.460798
501,-3.03584,43.7389,1032.79,0.464656
502,-2.15362,43.7417,1033.09,0.469196
503,-1.27011,43.7409,1033.37,0.473108
504,-0.386926,43.7411,1033.65,0.477319
505,0.497061,43.7461,1033.94,0.481988
506,1.38126,43.7525,1034.24,0.486989
507,2.26603,43.7592,1034.53,0.491521
508,3.15166,43.7657,1034.83,0.496794
509,4.03668,43.7725,1035.12,0.501823
510,4.92273,43.7789,1035.41,0.506594
511,5.80845,43.7862,1035.71,0.511216
512,6.69573,43.7893,1036,0.516617
513,7.58354,43.7953,1036.29,0.521279
514,8.47202,43.8008,1036.59,0.526
515,9.36029,43.8058,1036.86,0.529633
516,10.2508,43.8115,1037.18,0.534925
517,11.1405,43.8268,1037.44,0.539603
518,12.0306,43.8435,1037.73,0.543952
519,12.9221,43.8555,1038.03,0.549192
520,13.8134,43.8627,1038.29,0.553149
521,14.7052,43.8684,1038.59,0.55819
522,15.5975,43.8745,1038.89,0.562808
523,16.4901,43.8782,1039.19,0.567009
524,17.3851,43.8785,1039.48,0.571728
525,18.2785,43.8774,1039.77,0.576813
526,19.1728,43.8819,1040.07,0.581858
527,20.0675,43.8888,1040.36,0.587362
528,20.9625,43.893,1040.65,0.592815
529,21.8584,43.9003,1040.94,0.597646
530,22.7543,43.9052,1041.24,0.602804
531,23.6512,43.9114,1041.53,0.607865
532,24.5487,43.9171,1041.83,0.612889
533,25.4469,43.9239,1042.12,0.618059
534,26.3452,43.9309,1042.41,0.622816
535,27.2439,43.9362,1042.7,0.628511
536,28.1435,43.9425,1042.99,0.633229
537,29.0436,43.9499,1043.28,0.638088
538,29.9444,43.959,1043.57,0.642975
539,30.845,43.9686,1043.84,0.648049
540,31.7478,43.9816,1044.16,0.654098
541,32.6499,43.9902,1044.44,0.659295
542,33.5516,43.9949,1044.73,0.664529
543,34.4553,44.0053,1045.01,0.670552
544,35.3584,44.0046,1045.3,0.675628
545,36.2632,44.0092,1045.61,0.68152
546,37.167,44.0082,1045.88,0.686205
547,38.0717,44.0074,1046.18,0.691335
548,38.9772,44.0164,1046.47,0.697751
549,39.8831,44.0227,1046.76,0.703722
550,40.7895,44.0287,1047.04,0.709173
551,41.697,44.0353,1047.33,0.715203
552,42.6046,44.0407,1047.62,0.721261
553,43.5136,44.0468,1047.91,0.726987
554,44.423,44.0525,1048.2,0.732973
555,45.3321,44.0581,1048.49,0.73863
556,46.2429,44.0644,1048.79,0.744689
557,47.1531,44.0688,1049.09,0.75054
558,48.0639,44.0747,1049.38,0.755822
559,48.9746,44.0806,1049.67,0.761723
560,49.8863,44.0878,1049.95,0.766716
561,50.7997,44.0946,1050.25,0.771705
562,51.7132,44.1014,1050.54,0.777498
563,52.6256,44.1049,1050.82,0.781905
564,53.5413,44.1106,1051.13,0.787924
565,54.456,44.1153,1051.41,0.793953
566,55.3716,44.1179,1051.7,0.80095
567,56.2869,44.1209,1051.98,0.808825
568,57.2042,44.1254,1052.27,0.815747
569,58.1226,44.1328,1052.57,0.82362
570,59.0403,44.1394,1052.85,0.830024
571,59.9584,44.1454,1053.14,0.837119
572,60.8777,44.1512,1053.44,0.843733
573,61.7976,44.1574,1053.74,0.849563
574,62.7178,44.1645,1054.03,0.855769
575,63.6391,44.1706,1054.33,0.862017
576,64.5605,44.1764,1054.63,0.868714
577,65.4828,44.1819,1054.93,0.874555
578,66.4053,44.1884,1055.22,0.880581
579,67.3285,44.1954,1055.52,0.886802
580,68.2528,44.2002,1055.82,0.893071
581,69.1766,44.2053,1056.11,0.899213
582,70.1013,44.2107,1056.4,0.905144
583,71.0275,44.2189,1056.7,0.91257
584,71.954,44.2235,1057,0.918987
585,72.8802,44.2283,1057.3,0.925385
586,73.8076,44.2341,1057.59,0.932116
587,74.735,44.2397,1057.88,0.938952
588,75.6642,44.2467,1058.18,0.945773
589,76.592,44.2494,1058.46,0.951428
590,77.5221,44.2558,1058.76,0.957661
591,78.4515,44.2616,1059.05,0.964251
592,79.3833,44.2666,1059.36,0.970839
593,80.3154,44.2726,1059.66,0.977068
594,81.2473,44.278,1059.95,0.983504
595,82.18,44.283,1060.26,0.989845
596,83.1133,44.2892,1060.55,0.996184
597,84.0471,44.2956,1060.86,1.00204
598,84.9812,44.3027,1061.16,1.00763
599,85.9161,44.309,1061.46,1.01406
600,86.8515,44.3154,1061.76,1.01987
601,-20.5858,42.7126,1026.8,0.368821
602,-19.7132,42.7191,1027.1,0.373373
603,-18.8403,42.7252,1027.4,0.378481
604,-17.9671,42.7317,1027.7,0.383561
605,-17.0934,42.7379,1028.01,0.388121
606,-16.2188,42.7439,1028.3,0.392847
607,-15.3442,42.7492,1028.6,0.397798
608,-14.4686,42.7555,1028.89,0.402512
609,-13.5928,42.762,1029.19,0.407371
610,-12.7166,42.769,1029.49,0.411722
