index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
379,-4.79527,44.5929,1032.21,9.39155e-05
380,-3.91356,44.6008,1032.52,0.000144958
381,-3.032,44.6051,1032.81,0.000163304
382,-2.15005,44.6103,1033.1,0.0001673
383,-1.2666,44.6162,1033.38,0.000113619
384,-0.383584,44.6232,1033.68,4.53445e-05
385,0.500469,44.6303,1033.97,-1.2376e-05
386,1.38461,44.6373,1034.27,-0.000117832
387,2.26969,44.6451,1034.55,-0.000198881
388,3.15551,44.6515,1034.85,-0.000295014
389,4.04117,44.6586,1035.14,-0.000299593
390,4.92765,44.6654,1035.44,-0.000327475
391,5.81372,44.6729,1035.73,-0.000311045
392,6.70123,44.6786,1036.02,-0.000267918
393,7.58886,44.6834,1036.31,-0.000260979
394,8.47758,44.6898,1036.61,-0.000265055
395,9.36627,44.6964,1036.9,-0.00024383
396,10.2563,44.7019,1037.2,-0.000224391
397,11.146,44.7078,1037.48,-0.000210911
398,12.0354,44.7172,1037.76,-0.000225116
399,12.9266,44.7199,1038.05,-0.000170795
400,13.818,44.7272,1038.34,-9.48095e-05
401,14.7096,44.7341,1038.63,-0.000106286
402,15.6016,44.7423,1038.92,-0.000106386
403,16.4945,44.749,1039.21,-0.000119726
404,17.3899,44.7554,1039.51,-0.000178551
405,18.2837,44.7648,1039.81,-0.000276415
406,19.1782,44.7716,1040.09,-0.000339786
407,20.0732,44.7779,1040.38,-0.000407758
408,20.9687,44.7834,1040.67,-0.00046577
409,21.8647,44.7902,1040.96,-0.000530753
410,22.7604,44.7944,1041.25,-0.000544193
411,23.6566,44.8014,1041.54,-0.000525919
412,24.554,44.8081,1041.84,-0.000522295
413,25.4521,44.8157,1042.13,-0.000495264
414,26.3505,44.8221,1042.42,-0.000470608
415,27.249,44.8276,1042.71,-0.000428859
416,28.1488,44.8351,1043,-0.00038135
417,29.0491,44.8418,1043.29,-0.000342506
418,29.9502,44.8473,1043.59,-0.000299206
419,30.8515,44.8572,1043.88,-0.000263754
420,31.7533,44.8614,1044.17,-0.000292052
421,32.6554,44.8681,1044.45,-0.000296773
422,33.5579,44.8744,1044.75,-0.00032094
423,34.4612,44.8807,1045.04,-0.000358895
424,35.3646,44.8866,1045.32,-0.000422716
425,36.2683,44.8909,1045.61,-0.000467517
426,37.1733,44.899,1045.9,-0.000507299
427,38.078,44.9053,1046.19,-0.000534472
428,38.9831,44.9108,1046.48,-0.000544083
429,39.8889,44.9167,1046.77,-0.00050923
430,40.7954,44.9226,1047.05,-0.000485891
431,41.7032,44.9294,1047.34,-0.000469712
432,42.6109,44.9348,1047.64,-0.000418467
433,43.5199,44.9409,1047.93,-0.000379733
434,44.4294,44.9472,1048.22,-0.000375614
435,45.3384,44.9533,1048.51,-0.000365826
436,46.2491,44.9601,1048.81,-0.000371936
437,47.1596,44.9653,1049.1,-0.000385205
438,48.0703,44.971,1049.39,-0.000407312
439,48.9813,44.9764,1049.68,-0.000431312
440,49.8934,44.983,1049.97,-0.000431315
441,50.8065,44.9898,1050.26,-0.000496593
442,51.7197,44.9961,1050.55,-0.000466057
443,52.6332,45.0019,1050.84,-0.000404968
444,53.5483,45.0075,1051.13,-0.000343459
445,54.4628,45.0136,1051.42,-0.000268048
446,55.3778,45.0182,1051.7,-0.000216587
447,56.2935,45.0222,1051.98,-0.000184419
448,57.211,45.0287,1052.27,-0.000162604
449,58.1289,45.0335,1052.56,-0.000131112
450,59.0472,45.0392,1052.85,-0.000112262
451,59.9648,45.0449,1053.14,-0.000104248
452,60.8843,45.0508,1053.45,-0.000116418
453,61.8042,45.0575,1053.74,-0.000131051
454,62.7244,45.0642,1054.04,-0.000120849
455,63.6452,45.0702,1054.34,-0.000115569
456,64.5668,45.0761,1054.63,-0.000103683
457,65.4889,45.0824,1054.93,-0.000138536
458,66.4118,45.0891,1055.23,-0.000166189
459,67.3352,45.096,1055.53,-0.000172237
460,68.2598,45.1006,1055.83,-0.000158363
461,69.1842,45.1065,1056.12,-0.000152337
462,70.1089,45.1124,1056.42,-0.00015471
463,71.0344,45.1177,1056.71,-0.000107113
464,71.9611,45.1234,1057.01,-9.13537e-05
465,72.8871,45.1291,1057.3,-6.50721e-05
466,73.8144,45.1357,1057.59,-1.95391e-05
467,74.7416,45.1412,1057.89,1.38068e-05
468,75.6706,45.1479,1058.18,2.74324e-05
469,76.5993,45.1543,1058.48,2.69191e-05
470,77.5289,45.1596,1058.77,2.00364e-05
471,78.4587,45.1646,1059.06,2.2562e-05
472,79.3905,45.1699,1059.36,1.55604e-05
473,80.3228,45.176,1059.66,-1.45917e-05
474,81.2546,45.1821,1059.96,-4.02253e-06
