index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
224,71.9751,46.9294,1057.02,-0.0286673
225,72.9016,46.9346,1057.32,-0.0289323
226,73.8292,46.9403,1057.61,-0.0289302
227,74.7569,46.9462,1057.91,-0.0293865
228,75.6857,46.9535,1058.21,-0.0292924
229,76.6142,46.9598,1058.5,-0.0298923
230,77.544,46.9662,1058.79,-0.0296842
231,78.4741,46.9717,1059.09,-0.0296902
232,79.4043,46.9783,1059.38,-0.0300153
233,80.3367,46.9854,1059.68,-0.0295966
234,81.2687,46.9922,1059.98,-0.0299323
235,82.201,46.9977,1060.27,-0.0299927
236,83.1346,47.0048,1060.57,-0.0299778
237,84.0683,47.0124,1060.87,-0.030389
238,85.0034,47.0198,1061.17,-0.0304452
239,85.938,47.0268,1061.47,-0.0310499
240,86.8731,47.0328,1061.77,-0.0316461
241,-20.5738,45.3489,1026.87,0.00365972
242,-19.7013,45.3545,1027.17,0.00356757
243,-18.8282,45.3626,1027.48,0.00352854
244,-17.9546,45.37,1027.78,0.00348269
245,-17.0806,45.3748,1028.08,0.00340234
246,-16.206,45.3816,1028.38,0.00338548
247,-15.3309,45.3884,1028.68,0.0031998
248,-14.455,45.3953,1028.98,0.003384
249,-13.5793,45.403,1029.27,0.00288406
250,-12.7029,45.4108,1029.57,0.00244908
251,-11.8261,45.4178,1029.86,0.00207201
252,-10.9487,45.4252,1030.15,0.00157636
253,-10.071,45.4319,1030.45,0.00108855
254,-9.19219,45.4389,1030.74,0.00113712
255,-8.31332,45.4472,1031.04,0.00071296
256,-7.43306,45.4528,1031.33,0.00130524
257,-6.55329,45.4605,1031.63,0.000825442
258,-5.67258,45.4668,1031.93,0.000885579
259,-4.79136,45.4734,1032.23,0.000889327
260,-3.90937,45.4807,1032.53,0.00114242
261,-3.02754,45.4867,1032.82,0.000743435
262,-2.14555,45.4932,1033.11,-2.3601e-05
263,-1.26186,45.4997,1033.4,0.000436558
264,-0.378632,45.5063,1033.7,-9.17659e-05
265,0.505428,45.5138,1033.99,-0.000322062
266,1.3894,45.521,1034.29,-0.0011318
267,2.27436,45.5288,1034.58,-0.00147258
268,3.1598,45.5359,1034.87,-0.00184001
269,4.0458,45.5433,1035.17,-0.0021709
270,4.93232,45.5502,1035.46,-0.00244489
271,5.81852,45.5576,1035.75,-0.00356338
272,6.70617,45.5636,1036.04,-0.00366639
273,7.59392,45.5687,1036.33,-0.00417666
274,8.48263,45.5754,1036.63,-0.00427524
275,9.3714,45.5828,1036.92,-0.00480861
276,10.2608,45.5876,1037.2,-0.00503363
277,11.1508,45.5936,1037.49,-0.00537398
278,12.0402,45.6011,1037.77,-0.00661109
279,12.9316,45.6084,1038.06,-0.00654822
280,13.8228,45.6148,1038.35,-0.00711756
281,14.7145,45.6208,1038.64,-0.00765894
282,15.607,45.6302,1038.93,-0.00818903
283,16.5,45.6378,1039.23,-0.00862468
284,17.3953,45.6465,1039.53,-0.00740216
285,18.289,45.6535,1039.83,-0.00821762
286,19.184,45.6604,1040.11,-0.00798733
287,20.079,45.6665,1040.4,-0.00832531
288,20.9744,45.6717,1040.69,-0.00882234
289,21.8703,45.6788,1040.98,-0.00949113
290,22.7661,45.6839,1041.27,-0.0105453
291,23.6626,45.6913,1041.57,-0.0116699
292,24.5597,45.6979,1041.87,-0.0126562
293,25.4578,45.7059,1042.16,-0.0132108
294,26.3562,45.7128,1042.45,-0.0137931
295,27.2547,45.7184,1042.74,-0.0148032
296,28.1545,45.7261,1043.03,-0.015086
297,29.0547,45.7328,1043.3,-0.0152096
298,29.9558,45.7397,1043.6,-0.015406
299,30.8569,45.7463,1043.89,-0.0158683
300,31.7588,45.7527,1044.18,-0.0160846
301,32.6612,45.7598,1044.47,-0.0164236
302,33.5642,45.7663,1044.76,-0.0165767
303,34.4674,45.7721,1045.05,-0.0170681
304,35.3708,45.7786,1045.34,-0.0177827
305,36.2747,45.7848,1045.63,-0.0185038
306,37.1792,45.7919,1045.91,-0.0192675
307,38.0841,45.7983,1046.2,-0.0200828
308,38.9891,45.8042,1046.49,-0.0214058
309,39.895,45.8103,1046.78,-0.0222612
310,40.802,45.8167,1047.07,-0.0225046
311,41.7099,45.8254,1047.36,-0.0226358
312,42.6175,45.8308,1047.64,-0.023404
313,43.5264,45.8365,1047.94,-0.0235634
314,44.4359,45.8438,1048.23,-0.0236815
315,45.3449,45.8507,1048.52,-0.0247199
316,46.2555,45.8582,1048.81,-0.0250389
317,47.1658,45.8624,1049.11,-0.0258519
